quando               | quem        | balcao      | o_que                |   canal_criado/usado 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9881 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9883 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9870 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9906 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9872 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9873 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9913 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9916 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9943 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9929 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9892 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9946 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9893 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9939 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9941 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9942 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9896 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9952 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9850 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9953 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9938 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9954 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9955 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9947 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9925 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9949 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9950 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9958 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9895 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9959 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9926 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9937 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9931 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9924 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9928 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9945 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9961 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9963 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9965 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9962 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9966 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9919 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9969 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9968 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9967 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9973 
2015-05-21 17:48:07  | Balcao      | 1           | pede_atendimento     |        ./tmp/fc_9964 
